호선,역명,요일,비율
5,굽은다리,목,1.1104554336318193
5,굽은다리,수,1.1280301861380988
5,굽은다리,월,1.0828449959354394
5,굽은다리,일,0.5998967083754227
5,굽은다리,토,0.8367766890173928
5,굽은다리,화,1.1031394898660407
5,길동,금,1.1572735556774258
5,길동,목,1.109383123612534
5,길동,수,1.1228474286637842
5,길동,월,1.097043946642653
5,길동,일,0.5615523815206344
5,길동,토,0.8352453492721015
5,길동,화,1.116654214610868
5,김포공항,금,1.1196906725619333
5,김포공항,목,1.0013897826047813
5,김포공항,수,0.9823938586490696
5,김포공항,월,0.964710375812209
5,김포공항,일,0.9386972210161227
5,김포공항,토,1.0234191122176206
5,김포공항,화,0.9696989771382639
5,까치산,금,1.1296910751658222
5,까치산,목,1.1108838079186876
5,까치산,수,1.1193039356537062
5,까치산,월,1.0854915733537518
5,까치산,일,0.5966955167988865
5,까치산,토,0.8465149509056582
5,까치산,화,1.1114191402034888
5,답십리,금,1.1682906080415312
5,답십리,목,1.1526634657104498
5,답십리,수,1.1664913511783295
5,답십리,월,1.12282556553584
5,답십리,일,0.5133951838181426
5,답십리,토,0.7258502507695773
5,답십리,화,1.1504835749461293
5,동대문역사문화공원,금,1.2054462391372052
5,동대문역사문화공원,목,1.2433669874021056
5,동대문역사문화공원,수,1.2527279058655083
5,동대문역사문화공원,월,1.2420412869464985
5,동대문역사문화공원,일,0.3350522201320324
5,동대문역사문화공원,토,0.46783272220830646
5,동대문역사문화공원,화,1.2535326383083432
5,둔촌동,금,1.1543499368450665
5,둔촌동,목,1.121720541746855
5,둔촌동,수,1.1270694855907653
5,둔촌동,월,1.089600909938767
5,둔촌동,일,0.5780848273965767
5,둔촌동,토,0.8053385438971594
5,둔촌동,화,1.12383575458481
5,마곡,금,1.1905128389159962
5,마곡,목,1.205647930008993
5,마곡,수,1.215955889362525
5,마곡,월,1.18057365839324
5,마곡,일,0.3858707984889944
5,마곡,토,0.610029707212721
5,마곡,화,1.2114091776175309
5,마장,금,1.1512237530548561
5,마장,목,1.1484123895716944
5,마장,수,1.1477370281935966
5,마장,월,1.1005650900025647
5,마장,일,0.5429894595377422
5,마장,토,0.7680164144875397
5,마장,화,1.1410558651520057
5,마천,금,1.1541917882488022
5,마천,목,1.142082834218615
5,마천,수,1.154443616836019
5,마천,월,1.1185489596021816
5,마천,일,0.5381553886840398
5,마천,토,0.7447997326758163
5,마천,화,1.1477776797345263
5,마포,금,1.1918047617725767
5,마포,목,1.198759172462703
5,마포,수,1.2135687948743012
5,마포,월,1.1623048135643896
5,마포,일,0.38651128940502133
5,마포,토,0.6455545767997296
5,마포,화,1.2014965911212783
5,명일,금,1.1487314423069417
5,명일,목,1.1175518584228985
5,명일,수,1.1428568025478452
5,명일,월,1.0904154713002219
5,명일,일,0.5868423568665565
5,명일,토,0.7915703381061416
5,명일,화,1.122031730449394
5,목동,금,1.1701651520640541
5,목동,목,1.149619665861986
5,목동,수,1.1585200754821545
5,목동,월,1.1113424645709264
5,목동,일,0.5014083417455046
5,목동,토,0.7593700849246257
5,목동,화,1.149574215350749
5,미사,금,1.1393405206074492
5,미사,목,1.1227079728541491
5,미사,수,1.137095300830609
5,미사,월,1.0787115507179892
5,미사,일,0.5795170396887778
5,미사,토,0.8343591474337001
5,미사,화,1.1082684678673256
5,발산,금,1.135693283051602
5,발산,목,1.1579770291909555
5,발산,수,1.1782282083823046
5,발산,월,1.1254180161905876
5,발산,일,0.4844510627684033
5,발산,토,0.7541167576576508
5,발산,화,1.1641156427584962
5,방이,금,1.1365255533970475
5,방이,목,1.1263411617967918
5,방이,수,1.1300972956220185
5,방이,월,1.0784618772754644
5,방이,일,0.5814132653444282
5,방이,토,0.8275810936921935
5,방이,화,1.1195797528720555
5,방화,금,1.146985604692901
5,방화,목,1.1276865940150071
5,방화,수,1.1421827851454007
5,방화,월,1.1012474087256172
5,방화,일,0.571957801746197
5,방화,토,0.7784071786688481
5,방화,화,1.1315326270060289
5,상일동,금,1.1728688052038752
